input_value,host,verdict,passed_checks,total_checks,failed_checks,pass_rate,dns_ok,resolved_ips,tcp_53_ok,tcp_53_elapsed_ms,tcp_53_banner,tcp_53_error,tcp_80_ok,tcp_80_elapsed_ms,tcp_80_banner,tcp_80_error,tcp_443_ok,tcp_443_elapsed_ms,tcp_443_banner,tcp_443_error,tcp_25_ok,tcp_25_elapsed_ms,tcp_25_banner,tcp_25_error,tcp_587_ok,tcp_587_elapsed_ms,tcp_587_banner,tcp_587_error,tcp_465_ok,tcp_465_elapsed_ms,tcp_465_banner,tcp_465_error,http_ok,http_status,http_elapsed_ms,http_server,http_title,http_error,https_ok,https_status,https_elapsed_ms,https_server,https_title,https_error
135.125.183.49,135.125.183.49,PASS_WITH_WARNINGS,8,9,1,88.89,True,135.125.183.49,True,204,,,True,208,,,True,263,,,True,494,220 ppu.pw Burp Collaborator Server ready,,True,1407,220 ppu.pw Burp Collaborator Server ready,,False,967,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '135.125.183.49'. (_ssl.c:992)",True,200,460,Burp Collaborator https://burpcollaborator.net/,,,True,200,974,Burp Collaborator https://burpcollaborator.net/,,
165.227.120.193,165.227.120.193,FAIL,6,9,3,66.67,True,165.227.120.193,False,3383,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,255,,,True,240,,,False,242,,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,True,469,220 collab.dalecardwellinvestigates.com Burp Collaborator Server ready,,False,1284,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '165.227.120.193'. (_ssl.c:992)",True,200,467,Burp Collaborator https://burpcollaborator.net/,,,True,200,1197,Burp Collaborator https://burpcollaborator.net/,,
https://mburpcollab.com,mburpcollab.com,FAIL,0,9,9,0.0,False,,False,9863,,[Errno 11002] getaddrinfo failed,False,11080,,[Errno 11001] getaddrinfo failed,False,8802,,[Errno 11002] getaddrinfo failed,False,11098,,[Errno 11001] getaddrinfo failed,False,6041,,[Errno 11002] getaddrinfo failed,False,11085,,[Errno 11001] getaddrinfo failed,False,,9124,,,"HTTPConnectionPool(host='mburpcollab.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='mburpcollab.com', port=80): Failed to resolve 'mburpcollab.com' ([Errno 11002] getaddrinfo failed)""))",False,,11097,,,"HTTPSConnectionPool(host='mburpcollab.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='mburpcollab.com', port=443): Failed to resolve 'mburpcollab.com' ([Errno 11002] getaddrinfo failed)""))"
50.116.39.56,50.116.39.56,PASS_WITH_WARNINGS,7,9,2,77.78,True,50.116.39.56,False,3200,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,225,,,True,2287,,,True,491,220 burpcol.versprite.services Burp Collaborator Server ready,,True,482,220 burpcol.versprite.services Burp Collaborator Server ready,,False,551,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '50.116.39.56'. (_ssl.c:992)",True,200,520,Burp Collaborator https://burpcollaborator.net/,,,True,200,1496,Burp Collaborator https://burpcollaborator.net/,,
https://b.mburpcollab.com,b.mburpcollab.com,FAIL,0,9,9,0.0,False,,False,9115,,[Errno 11002] getaddrinfo failed,False,11062,,[Errno 11001] getaddrinfo failed,False,10749,,[Errno 11002] getaddrinfo failed,False,9732,,[Errno 11002] getaddrinfo failed,False,9944,,[Errno 11002] getaddrinfo failed,False,9962,,[Errno 11002] getaddrinfo failed,False,,10819,,,"HTTPConnectionPool(host='b.mburpcollab.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='b.mburpcollab.com', port=80): Failed to resolve 'b.mburpcollab.com' ([Errno 11002] getaddrinfo failed)""))",False,,9855,,,"HTTPSConnectionPool(host='b.mburpcollab.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='b.mburpcollab.com', port=443): Failed to resolve 'b.mburpcollab.com' ([Errno 11002] getaddrinfo failed)""))"
188.245.110.201,188.245.110.201,PASS_WITH_WARNINGS,7,9,2,77.78,True,188.245.110.201,False,6009,,timed out,True,196,,,True,199,,,True,386,220 co.mueller-soehne.com Burp Collaborator Server ready,,True,371,220 co.mueller-soehne.com Burp Collaborator Server ready,,False,784,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '188.245.110.201'. (_ssl.c:992)",True,200,382,Burp Collaborator https://burpcollaborator.net/,,,True,200,836,Burp Collaborator https://burpcollaborator.net/,,
185.19.184.142,185.19.184.142,FAIL,6,9,3,66.67,True,185.19.184.142,False,6009,,timed out,True,212,,,True,232,,,True,454,220 snpoc.com Burp Collaborator Server ready,,True,487,220 snpoc.com Burp Collaborator Server ready,,False,901,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '185.19.184.142'. (_ssl.c:992)",True,200,500,Burp Collaborator https://burpcollaborator.net/,,,False,,7157,,,"HTTPSConnectionPool(host='185.19.184.142', port=443): Read timed out. (read timeout=6.0)"
135.225.76.124,135.225.76.124,PASS_WITH_WARNINGS,7,9,2,77.78,True,135.225.76.124,False,3591,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,313,,,True,245,,,True,647,220 collaborator.mccupdate.com Burp Collaborator Server ready,,True,463,220 collaborator.mccupdate.com Burp Collaborator Server ready,,False,1795,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '135.225.76.124'. (_ssl.c:992)",True,200,591,Burp Collaborator https://burpcollaborator.net/,,,True,200,1452,Burp Collaborator https://burpcollaborator.net/,,
89.247.178.35,89.247.178.35,PASS_WITH_WARNINGS,7,9,2,77.78,True,89.247.178.35,False,3283,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,250,,,True,252,,,True,1203,220 audit2.hisolutions.com Burp Collaborator Server ready,,True,444,220 audit2.hisolutions.com Burp Collaborator Server ready,,False,769,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '89.247.178.35'. (_ssl.c:992)",True,200,546,Burp Collaborator https://burpcollaborator.net/,,,True,200,1111,Burp Collaborator https://burpcollaborator.net/,,
81.145.232.113,81.145.232.113,PASS_WITH_WARNINGS,7,9,2,77.78,True,81.145.232.113,False,6009,,timed out,True,289,,,True,263,,,True,528,220 bc.ukpt.uk Burp Collaborator Server ready,,True,551,220 bc.ukpt.uk Burp Collaborator Server ready,,False,1367,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '81.145.232.113'. (_ssl.c:992)",True,200,1588,Burp Collaborator https://burpcollaborator.net/,,,True,200,1259,Burp Collaborator https://burpcollaborator.net/,,
193.101.132.17,193.101.132.17,PASS_WITH_WARNINGS,7,9,2,77.78,True,193.101.132.17,False,6012,,timed out,True,339,,,True,328,,,True,653,220 burp.cyberamt.de Burp Collaborator Server ready,,True,663,220 burp.cyberamt.de Burp Collaborator Server ready,,False,764,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '193.101.132.17'. (_ssl.c:992)",True,200,703,Burp Collaborator https://burpcollaborator.net/,,,True,200,1404,Burp Collaborator https://burpcollaborator.net/,,
20.42.44.77,20.42.44.77,PASS_WITH_WARNINGS,7,9,2,77.78,True,20.42.44.77,False,3208,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,220,,,True,233,,,True,431,220 burp.cai-offsec.com Burp Collaborator Server ready,,True,445,220 burp.cai-offsec.com Burp Collaborator Server ready,,False,780,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '20.42.44.77'. (_ssl.c:992)",True,200,2536,Burp Collaborator https://burpcollaborator.net/,,,True,200,1039,Burp Collaborator https://burpcollaborator.net/,,
37.16.105.123,37.16.105.123,PASS_WITH_WARNINGS,7,9,2,77.78,True,37.16.105.123,False,3486,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,282,,,True,312,,,True,1671,220 collab.harryhacker.fi Burp Collaborator Server ready,,True,583,220 collab.harryhacker.fi Burp Collaborator Server ready,,False,954,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '37.16.105.123'. (_ssl.c:992)",True,200,669,Burp Collaborator https://burpcollaborator.net/,,,True,200,1288,Burp Collaborator https://burpcollaborator.net/,,
178.62.62.9,178.62.62.9,PASS_WITH_WARNINGS,7,9,2,77.78,True,178.62.62.9,False,6007,,timed out,True,273,,,True,260,,,True,652,220 c.csacyber.org Burp Collaborator Server ready,,True,505,220 c.csacyber.org Burp Collaborator Server ready,,False,603,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '178.62.62.9'. (_ssl.c:992)",True,200,662,Burp Collaborator https://burpcollaborator.net/,,,True,200,1233,Burp Collaborator https://burpcollaborator.net/,,
35.232.14.10,35.232.14.10,PASS_WITH_WARNINGS,7,9,2,77.78,True,35.232.14.10,False,6050,,timed out,True,271,,,True,272,,,True,537,220 collab.ebayred.team Burp Collaborator Server ready,,True,537,220 collab.ebayred.team Burp Collaborator Server ready,,False,1740,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '35.232.14.10'. (_ssl.c:992)",True,200,1549,Burp Collaborator https://burpcollaborator.net/,,,True,200,1244,Burp Collaborator https://burpcollaborator.net/,,
